timestamp,air_humidity
1464732000,45.0
1464735600,48.0
1464739200,50.0
1464742800,51.0
1464746400,50.0
1464750000,51.0
1464753600,51.0
1464757200,53.0
1464760800,52.0
1464764400,49.0
1464768000,45.0
1464771600,42.0
1464775200,41.0
1464778800,40.0
1464782400,39.0
1464786000,54.0
1464789600,62.0
1464793200,51.0
1464796800,48.0
1464800400,40.0
1464804000,46.0
1464807600,51.0
1464811200,54.0
1464814800,56.0
1464818400,59.0
1464822000,60.0
1464825600,60.0
1464829200,60.0
1464832800,60.0
1464836400,60.0
1464840000,62.0
1464843600,62.0
1464847200,61.0
1464850800,58.0
1464854400,56.0
1464858000,49.0
1464861600,44.0
1464865200,42.0
1464868800,44.0
1464872400,42.0
1464876000,45.0
1464879600,50.0
1464883200,53.0
1464886800,50.0
1464890400,61.0
1464894000,87.0
1464897600,90.0
1464901200,89.0
1464904800,89.0
1464908400,89.0
1464912000,89.0
1464915600,82.0
1464919200,80.0
1464922800,77.0
1464926400,77.0
1464930000,78.0
1464933600,70.0
1464937200,60.0
1464940800,59.0
1464944400,63.0
1464948000,58.0
1464951600,63.0
1464955200,88.0
1464958800,86.0
1464962400,63.0
1464966000,59.0
1464969600,55.0
1464973200,53.0
1464976800,52.0
1464980400,54.0
1464984000,57.0
1464987600,60.0
1464991200,62.0
1464994800,64.0
1464998400,64.0
1465002000,65.0
1465005600,66.0
1465009200,66.0
1465012800,69.0
1465016400,69.0
1465020000,70.0
1465023600,64.0
1465027200,59.0
1465030800,52.0
1465034400,49.0
1465038000,49.0
1465041600,48.0
1465045200,53.0
1465048800,87.0
1465052400,85.0
1465056000,76.0
1465059600,68.0
1465063200,72.0
1465066800,87.0
1465070400,85.0
1465074000,91.0
1465077600,92.0
1465081200,87.0
1465084800,84.0
1465088400,83.0
1465092000,84.0
1465095600,82.0
1465099200,79.0
1465102800,77.0
1465106400,75.0
1465110000,72.0
1465113600,70.0
1465117200,65.0
1465120800,58.0
1465124400,51.0
1465128000,43.0
1465131600,44.0
1465135200,43.0
1465138800,43.0
1465142400,41.0
1465146000,41.0
1465149600,46.0
1465153200,53.0
1465156800,54.0
1465160400,57.0
1465164000,61.0
1465167600,65.0
1465171200,65.0
1465174800,63.0
1465178400,66.0
1465182000,78.0
1465185600,82.0
1465189200,91.0
1465192800,91.0
1465196400,86.0
1465200000,74.0
1465203600,73.0
1465207200,69.0
1465210800,59.0
1465214400,53.0
1465218000,42.0
1465221600,39.0
1465225200,51.0
1465228800,44.0
1465232400,45.0
1465236000,52.0
1465239600,55.0
1465243200,63.0
1465246800,67.0
1465250400,72.0
1465254000,78.0
1465257600,81.0
1465261200,81.0
1465264800,82.0
1465268400,81.0
1465272000,81.0
1465275600,77.0
1465279200,73.0
1465282800,65.0
1465286400,60.0
1465290000,57.0
1465293600,53.0
1465297200,48.0
1465300800,42.0
1465304400,36.0
1465308000,35.0
