timestamp,solar_radiation
1464732000,0.0
1464735600,0.0
1464739200,0.0
1464742800,0.0
1464746400,0.0
1464750000,0.0
1464753600,3.0
1464757200,54.0
1464760800,319.0
1464764400,397.0
1464768000,581.0
1464771600,842.0
1464775200,292.0
1464778800,364.0
1464782400,175.0
1464786000,263.0
1464789600,342.0
1464793200,513.0
1464796800,294.0
1464800400,199.0
1464804000,81.0
1464807600,18.0
1464811200,0.0
1464814800,0.0
1464818400,0.0
1464822000,0.0
1464825600,0.0
1464829200,0.0
1464832800,0.0
1464836400,0.0
1464840000,0.0
1464843600,77.0
1464847200,321.0
1464850800,242.0
1464854400,403.0
1464858000,821.0
1464861600,878.0
1464865200,895.0
1464868800,606.0
1464872400,567.0
1464876000,686.0
1464879600,411.0
1464883200,185.0
1464886800,108.0
1464890400,11.0
1464894000,3.0
1464897600,0.0
1464901200,0.0
1464904800,0.0
1464908400,0.0
1464912000,0.0
1464915600,0.0
1464919200,0.0
1464922800,0.0
1464926400,0.0
1464930000,90.0
1464933600,304.0
1464937200,432.0
1464940800,520.0
1464944400,721.0
1464948000,452.0
1464951600,131.0
1464955200,208.0
1464958800,295.0
1464962400,361.0
1464966000,308.0
1464969600,248.0
1464973200,139.0
1464976800,61.0
1464980400,13.0
1464984000,0.0
1464987600,1.0
1464991200,0.0
1464994800,0.0
1464998400,0.0
1465002000,0.0
1465005600,0.0
1465009200,0.0
1465012800,0.0
1465016400,51.0
1465020000,134.0
1465023600,273.0
1465027200,315.0
1465030800,706.0
1465034400,688.0
1465038000,530.0
1465041600,431.0
1465045200,145.0
1465048800,124.0
1465052400,324.0
1465056000,287.0
1465059600,153.0
1465063200,36.0
1465066800,10.0
1465070400,0.0
1465074000,0.0
1465077600,0.0
1465081200,1.0
1465084800,0.0
1465088400,0.0
1465092000,0.0
1465095600,0.0
1465099200,0.0
1465102800,64.0
1465106400,169.0
1465110000,284.0
1465113600,446.0
1465117200,740.0
1465120800,631.0
1465124400,976.0
1465128000,830.0
1465131600,416.0
1465135200,470.0
1465138800,419.0
1465142400,295.0
1465146000,286.0
1465149600,87.0
1465153200,10.0
1465156800,0.0
1465160400,0.0
1465164000,0.0
1465167600,0.0
1465171200,0.0
1465174800,0.0
1465178400,0.0
1465182000,0.0
1465185600,0.0
1465189200,16.0
1465192800,87.0
1465196400,352.0
1465200000,467.0
1465203600,440.0
1465207200,605.0
1465210800,751.0
1465214400,891.0
1465218000,893.0
1465221600,835.0
1465225200,296.0
1465228800,256.0
1465232400,187.0
1465236000,85.0
1465239600,21.0
1465243200,0.0
1465246800,0.0
1465250400,0.0
1465254000,0.0
1465257600,0.0
1465261200,0.0
1465264800,0.0
1465268400,0.0
1465272000,8.0
1465275600,118.0
1465279200,262.0
1465282800,387.0
1465286400,581.0
1465290000,754.0
1465293600,852.0
1465297200,820.0
1465300800,795.0
1465304400,732.0
1465308000,662.0
1465311600,393.0
1465315200,186.0
1465318800,289.0
1465322400,98.0
1465326000,21.0
1465329600,0.0
1465333200,0.0
1465336800,0.0
1465340400,0.0
1465344000,0.0
1465347600,0.0
1465351200,0.0
1465354800,0.0
1465358400,4.0
1465362000,113.0
1465365600,302.0
1465369200,295.0
1465372800,522.0
1465376400,764.0
1465380000,847.0
1465383600,897.0
1465387200,879.0
1465390800,815.0
1465394400,469.0
1465398000,270.0
1465401600,194.0
1465405200,139.0
1465408800,47.0
1465412400,12.0
1465416000,0.0
1465419600,0.0
1465423200,0.0
1465426800,0.0
1465430400,0.0
1465434000,0.0
1465437600,0.0
1465441200,0.0
1465444800,0.0
1465448400,22.0
1465452000,107.0
1465455600,67.0
