timestamp,solar_radiation
1591480800,64.8
1591484400,20.586666666666698
1591488000,0.0
1591491600,0.0
1591495200,0.0
1591498800,0.0
1591502400,0.8
1591506000,18.08
1591509600,69.52
1591513200,145.84
1591516800,242.16
1591520400,360.4
1591524000,481.84
1591527600,437.6
1591531200,687.6
1591534800,784.4
1591538400,628.56
1591542000,452.8
1591545600,613.36
1591549200,571.12
1591552800,261.12
1591556400,175.68
1591560000,167.36
1591563600,129.04
1591567200,44.88
1591570800,12.16
1591574400,0.0
1591578000,0.0
1591581600,0.0
1591585200,0.0
1591588800,0.8
1591592400,34.8
1591596000,66.72
1591599600,147.2
1591603200,263.84
1591606800,340.0
1591610400,224.0
1591614000,217.2
1591617600,403.2
1591621200,356.0
1591624800,218.64
1591628400,342.48
1591632000,324.32
1591635600,211.44
1591639200,107.92
1591642800,282.88
1591646400,184.72
1591650000,160.64
1591653600,46.56
1591657200,11.306666666666699
1591660800,0.0
1591664400,0.0
1591668000,0.0
1591671600,0.0
1591675200,0.8
1591678800,21.76
1591682400,34.64
1591686000,84.32
1591689600,126.8
1591693200,188.32
1591696800,214.08
1591700400,327.12
1591704000,591.12
1591707600,350.0
1591711200,336.4
1591714800,323.52
1591718400,580.72
1591722000,340.16
1591725600,208.48
1591729200,93.04
1591732800,116.32
1591736400,156.72
1591740000,51.52
1591743600,11.84
1591747200,0.0
1591750800,0.0
1591754400,0.0
1591758000,0.0
1591761600,0.8
1591765200,17.52
1591768800,83.2
1591772400,115.2
1591776000,245.52
1591779600,388.48
1591783200,389.28
1591786800,412.64
1591790400,316.48
1591794000,638.64
1591797600,590.88
1591801200,665.52
1591804800,305.04
1591808400,405.2
1591812000,346.96
1591815600,383.68
1591819200,233.76
1591822800,137.52
1591826400,62.16
1591830000,16.64
1591833600,0.0
1591837200,0.0
1591840800,0.0
1591844400,0.0
1591848000,0.72
1591851600,18.64
1591855200,69.6
1591858800,146.08
1591862400,243.84
1591866000,373.04
1591869600,248.16
1591873200,440.24
1591876800,719.84
1591880400,708.32
1591884000,356.8
1591887600,319.28
1591891200,681.12
1591894800,439.92
1591898400,255.12
1591902000,50.0
1591905600,205.6
1591909200,86.0
1591912800,76.88
1591916400,24.32
1591920000,0.0
1591923600,0.0
1591927200,0.0
1591930800,0.0
1591934400,1.52
1591938000,36.08
1591941600,119.12
1591945200,154.96
1591948800,246.24
1591952400,382.72
1591956000,512.4
1591959600,611.68
1591963200,738.16
1591966800,830.64
1591970400,814.4
1591974000,838.08
1591977600,761.68
1591981200,631.68
1591984800,469.92
1591988400,404.32
1591992000,269.6
1591995600,147.68
1591999200,48.8
1592002800,21.5466666666667
1592006400,0.0
1592010000,0.0
1592013600,0.0
1592017200,0.0
1592020800,1.04
1592024400,24.8
1592028000,51.84
1592031600,118.4
1592035200,189.84
1592038800,264.0
1592042400,256.32
1592046000,592.64
1592049600,670.0
1592053200,729.92
1592056800,657.52
1592060400,711.68
1592064000,595.84
1592067600,610.96
1592071200,477.2
1592074800,246.56
1592078400,114.96
1592082000,120.24
1592085600,24.16
1592089200,8.32
1592092800,0.0
1592096400,0.0
1592100000,0.0
1592103600,0.0
1592107200,1.12
1592110800,32.8
1592114400,90.96
1592118000,175.92
1592121600,168.96
1592125200,401.12
1592128800,509.2
1592132400,677.2
1592136000,468.56
1592139600,650.88
1592143200,695.92
1592146800,790.0
1592150400,544.48
1592154000,403.04
1592157600,331.52
1592161200,310.64
1592164800,245.04
1592168400,120.48
1592172000,53.84
1592175600,20.053333333333303
1592179200,0.0
1592182800,0.0
1592186400,0.0
1592190000,0.0
1592193600,0.56
1592197200,9.76
1592200800,24.24
1592204400,52.72
1592208000,143.92
1592211600,203.92
1592215200,213.36
1592218800,304.8
1592222400,453.2
1592226000,308.48
1592229600,350.72
1592233200,413.68
1592236800,388.32
1592240400,180.32
1592244000,196.4
1592247600,168.32
1592251200,78.96
1592254800,66.0
1592258400,34.8
1592262000,6.18666666666667
1592265600,0.0
1592269200,0.0
1592272800,0.0
1592276400,0.0
1592280000,0.8
1592283600,33.92
1592287200,75.28
1592290800,130.96
1592294400,212.8
1592298000,386.08
1592301600,490.32
1592305200,642.16
1592308800,495.28
1592312400,760.48
1592316000,781.04
1592319600,865.68
1592323200,574.64
1592326800,569.84
1592330400,395.44
1592334000,377.04
1592337600,292.24
1592341200,161.52
1592344800,29.44
1592348400,20.8
1592352000,0.0
1592355600,0.0
1592359200,0.0
1592362800,0.0
1592366400,0.96
1592370000,24.64
1592373600,63.04
1592377200,144.8
1592380800,192.56
1592384400,303.44
1592388000,396.88
1592391600,522.0
1592395200,427.12
1592398800,508.16
1592402400,627.92
1592406000,762.08
1592409600,524.16
1592413200,375.28
1592416800,358.24
1592420400,406.8
1592424000,290.08
1592427600,145.92
1592431200,64.16
1592434800,19.626666666666697
1592438400,0.0
1592442000,0.0
1592445600,0.0
1592449200,0.0
1592452800,0.8
1592456400,19.04
1592460000,65.52
1592463600,145.04
1592467200,244.48
1592470800,365.04
1592474400,495.84
1592478000,623.12
1592481600,743.2
1592485200,766.88
1592488800,863.6
1592492400,849.04
1592496000,777.44
1592499600,563.92
1592503200,500.72
1592506800,396.32
1592510400,279.28
1592514000,143.04
1592517600,67.44
1592521200,25.4933333333333
1592524800,0.0
1592528400,0.0
1592532000,0.0
1592535600,0.0
1592539200,0.8
1592542800,20.0
1592546400,63.2
1592550000,128.64
1592553600,244.24
1592557200,365.84
1592560800,486.8
1592564400,645.52
1592568000,750.48
1592571600,835.2
1592575200,781.76
1592578800,838.826666666667
1592582400,711.253333333333
1592586000,529.92
1592589600,328.64
1592593200,395.52
1592596800,281.04
1592600400,151.12
1592604000,73.04
1592607600,21.68
1592611200,1.44
1592614800,0.0
1592618400,0.0
1592622000,0.0
1592625600,0.72
1592629200,17.76
1592632800,65.84
1592636400,144.08
1592640000,242.88
1592643600,364.24
1592647200,493.6
1592650800,629.12
1592654400,740.72
1592658000,826.32
1592661600,872.16
1592665200,856.56
1592668800,775.76
1592672400,629.36
1592676000,517.52
1592679600,396.88
1592683200,278.88
1592686800,149.52
1592690400,73.12
1592694000,25.36
1592697600,1.68
1592701200,0.0
1592704800,0.0
1592708400,0.0
1592712000,0.72
1592715600,17.84
1592719200,56.08
1592722800,139.2
1592726400,239.84
1592730000,282.32
1592733600,333.36
1592737200,427.52
1592740800,783.6
1592744400,706.8
1592748000,635.36
1592751600,522.64
1592755200,790.88
1592758800,595.04
1592762400,435.76
1592766000,263.76
1592769600,248.0
1592773200,152.72
1592776800,77.68
1592780400,29.44
1592784000,1.6
1592787600,0.0
1592791200,0.0
1592794800,0.0
1592798400,0.72
1592802000,16.16
1592805600,53.2
1592809200,83.36
1592812800,205.28
1592816400,363.28
1592820000,449.28
1592823600,552.48
1592827200,688.88
1592830800,817.36
1592834400,833.28
1592838000,833.2
1592841600,753.12
1592845200,613.2
1592848800,507.12
1592852400,388.4
1592856000,270.48
1592859600,142.96
1592863200,69.92
1592866800,24.32
1592870400,1.68
1592874000,0.0
1592877600,0.0
1592881200,0.0
1592884800,0.48
1592888400,14.88
1592892000,59.52
1592895600,70.08
1592899200,196.88
1592902800,339.28
1592906400,471.84
1592910000,532.8
1592913600,677.52
1592917200,787.84
1592920800,844.0
1592924400,821.44
1592928000,748.64
1592931600,608.08
1592935200,502.08
1592938800,384.4
1592942400,269.28
1592946000,144.64
1592949600,70.4
1592953200,25.68
1592956800,1.76
1592960400,0.0
1592964000,0.0
1592967600,0.0
1592971200,0.64
1592974800,18.56
1592978400,62.24
1592982000,130.4
1592985600,229.12
1592989200,346.72
1592992800,818.08
1592996400,919.68
1593000000,807.04
1593003600,787.04
1593007200,833.52
1593010800,816.24
1593014400,743.44
1593018000,603.44
1593021600,496.32
1593025200,380.88
1593028800,265.84
1593032400,144.56
1593036000,71.84
1593039600,24.48
1593043200,1.44
1593046800,0.0
1593050400,0.0
1593054000,0.0
1593057600,0.56
1593061200,14.8
1593064800,65.36
1593068400,153.76
1593072000,235.84
1593075600,272.64
1593079200,419.28
1593082800,576.4
1593086400,708.8
1593090000,546.0
1593093600,781.04
1593097200,784.48
1593100800,714.96
1593104400,381.2
1593108000,504.72
1593111600,390.4
1593115200,243.2
1593118800,93.04
1593122400,77.6
1593126000,28.56
1593129600,1.76
1593133200,0.0
1593136800,0.0
1593140400,0.0
1593144000,0.56
1593147600,18.88
1593151200,76.0
1593154800,145.84
1593158400,230.16
1593162000,347.6
1593165600,481.28
1593169200,603.6
1593172800,706.08
1593176400,750.88
1593180000,830.4
1593183600,807.12
1593187200,732.08
1593190800,570.16
1593194400,498.32
1593198000,374.64
1593201600,257.28
1593205200,148.0
1593208800,73.2
1593212400,23.466666666666697
1593216000,0.0
1593219600,0.0
1593223200,0.0
1593226800,0.0
1593230400,0.72
1593234000,18.32
1593237600,62.4
1593241200,136.16
1593244800,231.04
1593248400,347.2
1593252000,472.08
1593255600,595.12
1593259200,707.36
1593262800,787.2
1593266400,832.8
1593270000,808.0
1593273600,738.24
1593277200,611.6
1593280800,493.2
1593284400,373.92
1593288000,262.88
1593291600,153.28
1593295200,70.08
1593298800,24.88
1593302400,1.68
1593306000,0.0
1593309600,0.0
1593313200,0.0
1593316800,0.64
1593320400,18.0
1593324000,61.6
1593327600,133.2
1593331200,226.16
1593334800,342.4
1593338400,466.16
1593342000,588.96
1593345600,694.4
1593349200,774.96
1593352800,813.84
1593356400,797.6
1593360000,720.0
1593363600,602.0
1593367200,483.68
1593370800,366.4
1593374400,252.72
1593378000,151.44
1593381600,74.4
1593385200,24.56
1593388800,1.6
1593392400,0.0
1593396000,0.0
1593399600,0.0
1593403200,0.56
1593406800,17.84
1593410400,62.24
1593414000,136.4
1593417600,233.28
1593421200,353.12
1593424800,481.92
1593428400,604.56
1593432000,719.44
1593435600,811.52
1593439200,845.44
1593442800,834.08
1593446400,758.4
1593450000,637.76
1593453600,502.64
1593457200,391.6
1593460800,273.6
1593464400,161.52
1593468000,76.88
1593471600,23.893333333333302
1593475200,0.0
1593478800,0.0
1593482400,0.0
1593486000,0.0
1593489600,0.64
1593493200,17.52
1593496800,61.92
1593500400,137.52
1593504000,236.72
1593507600,356.32
1593511200,479.28
1593514800,617.36
1593518400,602.56
1593522000,782.8
1593525600,664.56
1593529200,851.44
1593532800,645.76
1593536400,605.76
1593540000,321.04
1593543600,395.92
1593547200,281.04
1593550800,161.76
1593554400,73.84
1593558000,22.72
1593561600,0.0
1593565200,0.0
1593568800,0.0
1593572400,0.0
1593576000,0.64
1593579600,17.12
1593583200,61.28
1593586800,136.08
1593590400,233.12
1593594000,350.8
1593597600,479.52
1593601200,602.32
1593604800,723.92
1593608400,803.12
1593612000,843.68
1593615600,819.2
1593619200,754.48
1593622800,587.04
1593626400,469.92
1593630000,365.36
1593633600,264.4
1593637200,117.6
1593640800,44.48
1593644400,7.89333333333333
1593648000,0.0
1593651600,0.0
1593655200,0.0
1593658800,0.0
1593662400,0.32
1593666000,12.16
1593669600,50.8
1593673200,118.24
1593676800,220.72
1593680400,332.32
1593684000,453.04
1593687600,424.64
1593691200,639.28
1593694800,774.56
1593698400,762.64
1593702000,576.88
1593705600,670.8
1593709200,603.92
1593712800,428.88
1593716400,294.16
1593720000,253.2
1593723600,149.52
1593727200,68.48
1593730800,22.1866666666667
1593734400,0.0
1593738000,0.0
1593741600,0.0
1593745200,0.0
1593748800,0.4
1593752400,15.28
1593756000,60.24
1593759600,121.36
1593763200,223.12
1593766800,335.84
1593770400,432.72
1593774000,575.36
1593777600,727.36
1593781200,637.28
1593784800,478.32
1593788400,474.32
1593792000,604.8
1593795600,383.68
1593799200,127.84
1593802800,32.72
1593806400,100.64
1593810000,66.96
1593813600,22.0
1593817200,10.56
1593820800,0.0
1593824400,0.0
1593828000,0.0
1593831600,0.0
1593835200,0.32
1593838800,11.52
1593842400,77.2
1593846000,121.12
1593849600,232.88
1593853200,343.6
1593856800,492.88
1593860400,423.84
1593864000,617.92
1593867600,747.52
1593871200,798.48
1593874800,445.28
1593878400,637.76
1593882000,555.44
1593885600,448.08
1593889200,166.56
1593892800,254.0
1593896400,140.0
1593900000,65.28
1593903600,21.9733333333333
1593907200,0.0
1593910800,0.0
1593914400,0.0
1593918000,0.0
1593921600,0.48
1593925200,16.0
1593928800,59.36
1593932400,133.92
1593936000,228.56
1593939600,344.56
1593943200,472.64
1593946800,496.88
1593950400,507.68
1593954000,812.8
1593957600,849.68
1593961200,729.2
1593964800,552.16
1593968400,642.4
1593972000,502.24
1593975600,391.36
1593979200,274.24
1593982800,158.16
1593986400,65.84
1593990000,23.36
1593993600,0.0
1593997200,0.0
1594000800,0.0
1594004400,0.0
1594008000,0.48
1594011600,15.84
1594015200,59.04
1594018800,133.04
1594022400,229.68
1594026000,346.32
1594029600,466.16
1594033200,592.08
1594036800,705.84
1594040400,826.773333333333
1594044000,826.24
1594047600,821.76
1594051200,750.16
1594054800,626.48
1594058400,490.96
1594062000,386.72
1594065600,275.12
1594069200,159.12
1594072800,71.84
1594076400,22.1866666666667
1594080000,0.0
1594083600,0.0
1594087200,0.0
1594090800,0.0
1594094400,0.0
1594098000,0.8
1594101600,4.96
1594105200,13.04
1594108800,30.8
1594112400,68.56
1594116000,114.96
1594119600,274.72
1594123200,377.92
1594126800,528.4
1594130400,540.16
1594134000,630.72
1594137600,622.8
1594141200,620.8
1594144800,503.84
1594148400,393.52
1594152000,277.28
1594155600,160.16
1594159200,73.68
1594162800,23.04
1594166400,0.0
1594170000,0.0
1594173600,0.0
1594177200,0.0
1594180800,0.32
1594184400,14.8
1594188000,58.96
1594191600,133.12
1594195200,230.72
1594198800,348.24
1594202400,471.12
1594206000,603.92
1594209600,718.56
1594213200,814.56
1594216800,839.04
1594220400,838.88
1594224000,762.48
1594227600,640.4
1594231200,489.28
1594234800,390.48
1594238400,275.84
1594242000,159.28
1594245600,62.4
1594249200,20.266666666666698
1594252800,0.0
1594256400,0.0
1594260000,0.0
1594263600,0.0
1594267200,0.32
1594270800,15.04
1594274400,57.04
1594278000,130.48
1594281600,227.52
1594285200,345.92
1594288800,464.56
1594292400,598.64
1594296000,714.96
1594299600,806.32
1594303200,834.56
1594306800,833.68
1594310400,759.84
1594314000,634.0
1594317600,498.32
1594321200,389.12
1594324800,273.36
1594328400,158.56
1594332000,71.28
1594335600,22.1866666666667
1594339200,0.0
1594342800,0.0
1594346400,0.0
1594350000,0.0
1594353600,0.24
1594357200,14.4
1594360800,55.68
1594364400,126.96
1594368000,222.48
1594371600,338.4
1594375200,458.88
1594378800,587.76
1594382400,702.0
1594386000,792.64
1594389600,822.96
1594393200,811.68
1594396800,661.5466666666671
1594400400,621.92
1594404000,489.28
1594407600,373.76
1594411200,256.88
1594414800,124.8
1594418400,0.0
1594422000,0.0
1594425600,0.0
1594429200,0.0
1594432800,0.0
1594436400,0.0
1594440000,0.32
1594443600,26.72
1594447200,110.08
1594450800,236.0
1594454400,421.28
1594458000,616.16
1594461600,782.24
1594465200,891.52
1594468800,929.76
1594472400,912.32
1594476000,819.68
1594479600,706.72
1594483200,127.04
1594486800,103.84
1594490400,38.88
1594494000,4.48
1594497600,0.64
1594501200,0.0
1594504800,0.0
1594508400,0.0
1594512000,0.0
1594515600,0.0
1594519200,0.0
1594522800,0.0
1594526400,0.32
1594530000,9.28
1594533600,18.24
1594537200,52.0
1594540800,146.24
1594544400,216.0
1594548000,268.32
1594551600,354.88
1594555200,563.84
1594558800,577.76
1594562400,511.36
1594566000,407.68
1594569600,293.92
1594573200,178.08
1594576800,87.2
1594580400,30.4
1594584000,1.44
1594587600,0.0
1594591200,0.0
1594594800,0.0
1594598400,0.0
1594602000,0.0
1594605600,0.0
1594609200,0.0
1594612800,0.32
1594616400,24.8
1594620000,85.76
1594623600,165.12
1594627200,277.76
1594630800,405.6
1594634400,320.48
1594638000,605.6
1594641600,494.88
1594645200,593.12
1594648800,517.76
1594652400,410.72
1594656000,294.56
1594659600,184.48
1594663200,86.56
1594666800,29.6
1594670400,1.28
1594674000,0.0
1594677600,0.0
1594681200,0.0
1594684800,0.0
1594688400,0.0
1594692000,0.0
1594695600,0.0
1594699200,0.16
1594702800,17.6
1594706400,75.84
1594710000,162.56
1594713600,273.92
1594717200,353.76
1594720800,318.4
1594724400,618.4
1594728000,617.76
1594731600,588.48
1594735200,507.52
1594738800,411.68
1594742400,290.4
1594746000,185.76
1594749600,84.64
1594753200,25.6
1594756800,1.12
1594760400,0.0
